"","mean","sd","2.5%","25%","50%","75%","97.5%","Rhat","n.eff"
"beta0",5.90944045382433,0.138109781419468,5.6414653816895,5.8182273166938,5.90726333661299,5.99912259084324,6.17874974445354,1.00193093139681,1400
"beta1",0.0241685676936247,0.0037991440024663,0.0166281795333549,0.0216439721053548,0.0242648057990745,0.0267330521579998,0.0316275800907948,1.00154767755397,1900
"beta2",-0.0414962713749307,0.114003345173486,-0.314143177900375,-0.0972009698322136,-0.0257414749405744,0.0254677180668656,0.157073949335086,1.00070846035227,3000
"beta3",0.0223080117080934,0.106821511268652,-0.185821097485451,-0.0379447686219382,0.0150907483781065,0.0763048427457279,0.25334292832505,1.00129868156406,2500
"beta4",-0.159069471321172,0.131052049277224,-0.433557976858067,-0.244850556216958,-0.146362088767036,-0.0568541833224381,0.0510430434439087,1.00059373963325,3000
"beta5",0.00230189193167596,0.00325510298890149,-0.00382059966912725,0.000200864286665052,0.00214835725740169,0.0042543304687034,0.00913642718775012,1.00087396540561,3000
"beta6",-0.000745747429766619,0.00313181618818763,-0.00719890324862244,-0.00267715386642047,-0.000631671874371153,0.00129401925750053,0.00510607493643152,1.00242663995656,1000
"beta7",0.00205707466292299,0.00397568267878721,-0.00509542250338621,-0.000764306320291644,0.00179543005564472,0.00462347095629157,0.0104601050210663,1.0012114459863,2800
"beta8",0.158778672413982,0.0185148082307683,0.12325210399103,0.14624754043512,0.158499911104346,0.170988520147706,0.195688196965986,1.00163355051602,2600
"beta9",-0.0223059436772407,0.00163238463791518,-0.0255055986121795,-0.0234090639464221,-0.0222901088801748,-0.0212217399392819,-0.0191325473390013,1.00173457569121,1700
"deviance",407.286274102077,12.4841591546126,388.084077686605,399.572677961778,406.524231129463,413.833378031391,429.557291315907,1.00186404682693,1500
